year,fishery,area,t
1976,19,1,0
1977,19,1,0
1978,19,1,0
1979,19,1,0
1980,19,1,0
1981,19,1,0
1982,19,1,0
1983,19,1,0
1984,19,1,0
1985,19,1,0
1986,19,1,0
1987,19,1,0
1988,19,1,0
1989,19,1,0
1990,19,1,0
1991,19,1,0
1992,19,1,4.23365e-06
1993,19,1,4.94683e-06
1994,19,1,4.40819e-06
1995,19,1,4.99024e-06
1996,19,1,5.48179e-06
1997,19,1,5.04563e-06
1998,19,1,3.62362e-06
1999,19,1,3.178e-06
2000,19,1,4.5528e-06
2001,19,1,5.38398e-06
2002,19,1,4.78027e-06
2003,19,1,7.28194e-06
2004,19,1,6.61637e-06
2005,19,1,5.17163e-06
2006,19,1,4.23383e-06
2007,19,1,5.21338e-06
2008,19,1,6.78757e-06
2009,19,1,6.95884e-06
2010,19,1,5.73747e-06
2011,19,1,6.32863e-06
2012,19,1,7.60863e-06
2013,19,1,6.79003e-06
2014,19,1,4.71385e-06
2015,19,1,5.68707e-06
2016,19,1,6.41912e-06
2017,19,1,5.11304e-06
2018,19,1,3.9652e-06
2019,19,1,6.1197e-06
2020,19,1,7.88625e-06
2021,19,1,6.83749e-06
2022,19,1,5.22449e-06
1954,20,2,2.81811e-06
1955,20,2,2.74296e-06
1956,20,2,2.71009e-06
1957,20,2,2.67916e-06
1958,20,2,2.65075e-06
1959,20,2,2.61918e-06
1960,20,2,2.63776e-06
1961,20,2,2.39635e-06
1962,20,2,2.21424e-06
1963,20,2,1.84049e-06
1964,20,2,1.47981e-06
1965,20,2,1.40516e-06
1966,20,2,1.41786e-06
1967,20,2,1.50983e-06
1968,20,2,1.25988e-06
1969,20,2,9.93115e-07
1970,20,2,9.64596e-07
1971,20,2,8.50711e-07
1972,20,2,7.50427e-07
1973,20,2,6.74972e-07
1974,20,2,5.7513e-07
1975,20,2,5.12559e-07
1976,20,2,5.08459e-07
1977,20,2,6.27479e-07
1978,20,2,8.01441e-07
1979,20,2,7.82711e-07
1980,20,2,6.84956e-07
1981,20,2,5.89894e-07
1982,20,2,5.21866e-07
1983,20,2,5.20771e-07
1984,20,2,5.95931e-07
1985,20,2,6.21308e-07
1986,20,2,5.97986e-07
1987,20,2,5.95625e-07
1988,20,2,6.36829e-07
1989,20,2,5.43232e-07
1990,20,2,5.45039e-07
1991,20,2,5.10766e-07
1992,20,2,5.96859e-07
1993,20,2,6.95506e-07
1994,20,2,6.17508e-07
1995,20,2,7.26864e-07
1996,20,2,7.03431e-07
1997,20,2,7.1962e-07
1998,20,2,7.27818e-07
1999,20,2,8.21554e-07
2000,20,2,7.63732e-07
2001,20,2,6.92855e-07
2002,20,2,5.35714e-07
2003,20,2,6.45671e-07
2004,20,2,5.30223e-07
2005,20,2,6.44537e-07
2006,20,2,7.37256e-07
2007,20,2,7.79619e-07
2008,20,2,7.02489e-07
2009,20,2,6.46238e-07
2010,20,2,6.6445e-07
2011,20,2,7.48613e-07
2012,20,2,7.1589e-07
2013,20,2,6.67813e-07
2014,20,2,6.95046e-07
2015,20,2,7.70779e-07
2016,20,2,6.38978e-07
2017,20,2,5.91176e-07
2018,20,2,5.83799e-07
2019,20,2,6.32137e-07
2020,20,2,5.29602e-07
2021,20,2,4.10645e-07
2022,20,2,6.03506e-07
